Dataset,PredLen,Model,MSE,MAE,TotalTime(s)
ETTh1,24,Autoformer,0.383754,0.424586,57.96
ETTh1,24,Informer,0.573163,0.560964,43.39
ETTh1,24,Kairosformer_A1,0.457367,0.478937,32.86
ETTh1,24,Kairosformer_A2,0.465396,0.469382,50.48
ETTh1,24,Kairosformer_A3,0.472622,0.475664,51.72
ETTh1,24,Kairosformer_v0,0.439255,0.467147,61.25
ETTh1,24,Transformer,0.59888,0.578377,33.45
ETTh1,48,Autoformer,0.43297,0.447891,61.4
ETTh1,48,Informer,0.650377,0.606909,36.9
ETTh1,48,Kairosformer_A1,0.489872,0.495889,34.22
ETTh1,48,Kairosformer_A2,0.47219,0.471639,53.92
ETTh1,48,Kairosformer_A3,0.480048,0.479715,53.13
ETTh1,48,Kairosformer_v0,0.513585,0.503827,93.11
ETTh1,48,Transformer,0.849045,0.721559,34.91
ETTh1,96,Autoformer,0.473684,0.463609,69.72
ETTh1,96,Informer,0.75413,0.677716,40.73
ETTh1,96,Kairosformer_A1,0.51628,0.512091,40.15
ETTh1,96,Kairosformer_A2,0.472096,0.468273,94.11
ETTh1,96,Kairosformer_A3,0.456126,0.465193,72.46
ETTh1,96,Kairosformer_v0,0.57575,0.522034,62.28
ETTh1,96,Transformer,0.930428,0.778579,39.18
ETTh1,192,Autoformer,0.498669,0.47909,87.67
ETTh1,192,Informer,0.979053,0.785902,46.4
ETTh1,192,Kairosformer_A1,0.540683,0.528504,72.41
ETTh1,192,Kairosformer_A2,0.491852,0.482083,136.38
ETTh1,192,Kairosformer_A3,0.485067,0.478633,153.01
ETTh1,192,Kairosformer_v0,0.638232,0.558331,118.15
ETTh1,192,Transformer,1.044426,0.813998,48.28
ETTh1,336,Autoformer,0.515646,0.49689,155.94
ETTh1,336,Informer,1.246049,0.902932,107.0
ETTh1,336,Kairosformer_A1,0.551992,0.541624,67.81
ETTh1,336,Kairosformer_A2,0.49954,0.492872,104.83
ETTh1,336,Kairosformer_A3,0.494564,0.48694,164.57
ETTh1,336,Kairosformer_v0,0.68885,0.583385,148.82
ETTh1,336,Transformer,1.110002,0.858756,63.59
ETTh1,720,Autoformer,0.520737,0.520499,208.79
ETTh1,720,Informer,1.148847,0.874405,184.01
ETTh1,720,Kairosformer_A1,0.72439,0.64715,213.71
ETTh1,720,Kairosformer_A2,0.535303,0.524956,233.41
ETTh1,720,Kairosformer_A3,0.518927,0.519025,199.41
ETTh1,720,Kairosformer_v0,0.798129,0.649926,110.99
ETTh1,720,Transformer,1.095739,0.824438,195.04
ETTh2,24,Autoformer,0.264297,0.342557,45.36
ETTh2,24,Informer,0.930212,0.764437,34.7
ETTh2,24,Kairosformer_A1,0.315463,0.377107,31.33
ETTh2,24,Kairosformer_A2,0.286647,0.363539,40.61
ETTh2,24,Kairosformer_A3,0.274279,0.354876,42.3
ETTh2,24,Kairosformer_v0,0.330931,0.393051,75.58
ETTh2,24,Transformer,0.881555,0.744631,39.0
ETTh2,48,Autoformer,0.30395,0.368888,48.9
ETTh2,48,Informer,1.515442,1.004649,35.79
ETTh2,48,Kairosformer_A1,0.339425,0.392742,33.96
ETTh2,48,Kairosformer_A2,0.313626,0.372612,62.21
ETTh2,48,Kairosformer_A3,0.312563,0.37403,62.83
ETTh2,48,Kairosformer_v0,0.345421,0.405773,38.34
ETTh2,48,Transformer,1.349392,0.949403,33.88
ETTh2,96,Autoformer,0.374038,0.418481,67.63
ETTh2,96,Informer,2.985049,1.424758,73.8
ETTh2,96,Kairosformer_A1,0.396372,0.432103,91.15
ETTh2,96,Kairosformer_A2,0.342585,0.386279,105.46
ETTh2,96,Kairosformer_A3,0.340728,0.383718,72.91
ETTh2,96,Kairosformer_v0,0.416928,0.449964,51.77
ETTh2,96,Transformer,2.029655,1.15418,37.93
ETTh2,192,Autoformer,0.42822,0.440352,69.43
ETTh2,192,Informer,5.610566,2.016788,93.98
ETTh2,192,Kairosformer_A1,0.432048,0.456622,94.69
ETTh2,192,Kairosformer_A2,0.439011,0.441642,91.51
ETTh2,192,Kairosformer_A3,0.427295,0.434887,92.67
ETTh2,192,Kairosformer_v0,0.559586,0.521673,48.93
ETTh2,192,Transformer,5.121124,1.800789,56.89
ETTh2,336,Autoformer,0.463455,0.473225,91.16
ETTh2,336,Informer,4.421807,1.764606,65.95
ETTh2,336,Kairosformer_A1,0.484324,0.486697,98.71
ETTh2,336,Kairosformer_A2,0.457506,0.465257,84.31
ETTh2,336,Kairosformer_A3,0.457264,0.465269,84.64
ETTh2,336,Kairosformer_v0,0.543003,0.523129,60.6
ETTh2,336,Transformer,5.071852,1.814894,76.07
ETTh2,720,Autoformer,0.474267,0.483147,174.43
ETTh2,720,Informer,3.125442,1.506948,75.09
ETTh2,720,Kairosformer_A1,0.481107,0.497117,244.66
ETTh2,720,Kairosformer_A2,0.477618,0.480939,137.19
ETTh2,720,Kairosformer_A3,0.464295,0.480614,166.86
ETTh2,720,Kairosformer_v0,0.582439,0.558549,130.25
ETTh2,720,Transformer,3.096797,1.450343,138.4
ETTm1,24,Autoformer,0.589069,0.501256,203.99
ETTm1,24,Informer,0.323856,0.380896,119.29
ETTm1,24,Kairosformer_A1,0.343719,0.405334,179.11
ETTm1,24,Kairosformer_A2,0.456607,0.451932,295.03
ETTm1,24,Kairosformer_A3,0.530374,0.470481,209.57
ETTm1,24,Kairosformer_v0,0.390023,0.420153,125.97
ETTm1,24,Transformer,0.307129,0.359411,111.41
ETTm1,48,Autoformer,0.583706,0.501861,222.79
ETTm1,48,Informer,0.52769,0.518998,127.06
ETTm1,48,Kairosformer_A1,0.385955,0.423752,197.69
ETTm1,48,Kairosformer_A2,0.550523,0.490702,151.19
ETTm1,48,Kairosformer_A3,0.556865,0.485655,154.15
ETTm1,48,Kairosformer_v0,0.430333,0.434915,229.67
ETTm1,48,Transformer,0.50606,0.46115,119.23
ETTm1,96,Autoformer,0.697182,0.545474,205.98
ETTm1,96,Informer,0.732044,0.650964,139.2
ETTm1,96,Kairosformer_A1,0.451181,0.451169,299.79
ETTm1,96,Kairosformer_A2,0.571551,0.50197,176.66
ETTm1,96,Kairosformer_A3,0.560138,0.491002,178.3
ETTm1,96,Kairosformer_v0,0.507385,0.481238,188.58
ETTm1,96,Transformer,0.633306,0.590354,137.12
ETTm1,192,Autoformer,0.568258,0.500121,393.58
ETTm1,192,Informer,0.743762,0.653377,163.06
ETTm1,192,Kairosformer_A1,0.453075,0.465663,309.26
ETTm1,192,Kairosformer_A2,0.566867,0.501803,234.52
ETTm1,192,Kairosformer_A3,0.594244,0.510846,297.06
ETTm1,192,Kairosformer_v0,0.552503,0.505414,182.7
ETTm1,192,Transformer,0.676716,0.612962,171.53
ETTm1,336,Autoformer,0.584025,0.509345,364.24
ETTm1,336,Informer,1.026939,0.804545,205.15
ETTm1,336,Kairosformer_A1,0.460411,0.465312,321.06
ETTm1,336,Kairosformer_A2,0.602857,0.514271,332.1
ETTm1,336,Kairosformer_A3,0.600143,0.51329,337.17
ETTm1,336,Kairosformer_v0,0.586713,0.528838,234.4
ETTm1,336,Transformer,0.948551,0.752823,239.6
ETTm1,720,Autoformer,0.650977,0.537881,611.15
ETTm1,720,Informer,1.13603,0.859929,311.75
ETTm1,720,Kairosformer_A1,0.555153,0.521016,773.4
ETTm1,720,Kairosformer_A2,0.638456,0.536602,581.18
ETTm1,720,Kairosformer_A3,0.617858,0.527752,864.55
ETTm1,720,Kairosformer_v0,0.65143,0.553393,549.91
ETTm1,720,Transformer,1.015024,0.774057,701.6
ETTm2,24,Autoformer,0.163027,0.27482,384.0
ETTm2,24,Informer,0.187581,0.318923,132.42
ETTm2,24,Kairosformer_A1,0.175158,0.279889,127.47
ETTm2,24,Kairosformer_A2,0.162517,0.268368,134.88
ETTm2,24,Kairosformer_A3,0.157794,0.263402,141.96
ETTm2,24,Kairosformer_v0,0.157843,0.264318,137.94
ETTm2,24,Transformer,0.17322,0.308094,168.9
ETTm2,48,Autoformer,0.187149,0.289029,235.84
ETTm2,48,Informer,0.282758,0.397274,176.23
ETTm2,48,Kairosformer_A1,0.192949,0.288918,114.47
ETTm2,48,Kairosformer_A2,0.212471,0.298939,185.59
ETTm2,48,Kairosformer_A3,0.183811,0.281082,152.61
ETTm2,48,Kairosformer_v0,0.191055,0.285739,146.94
ETTm2,48,Transformer,0.286182,0.383969,222.88
ETTm2,96,Autoformer,0.231886,0.312266,218.27
ETTm2,96,Informer,0.367528,0.451991,153.81
ETTm2,96,Kairosformer_A1,0.255707,0.336542,242.09
ETTm2,96,Kairosformer_A2,0.217705,0.297875,217.87
ETTm2,96,Kairosformer_A3,0.245215,0.307797,301.7
ETTm2,96,Kairosformer_v0,0.235882,0.314154,164.13
ETTm2,96,Transformer,0.520457,0.510908,208.59
ETTm2,192,Autoformer,0.301135,0.353157,558.06
ETTm2,192,Informer,0.840926,0.694902,204.86
ETTm2,192,Kairosformer_A1,0.340641,0.38597,293.39
ETTm2,192,Kairosformer_A2,0.274437,0.334012,232.98
ETTm2,192,Kairosformer_A3,0.313342,0.346934,351.2
ETTm2,192,Kairosformer_v0,0.37782,0.408838,296.06
ETTm2,192,Transformer,0.804304,0.676511,213.44
